iter	MultiClass
0	1.093444552
1	1.089177465
2	1.08527791
3	1.081155495
4	1.077705993
5	1.074378957
6	1.071534725
7	1.068329486
8	1.065398745
9	1.062748196
10	1.059941223
11	1.057537997
12	1.055115049
13	1.052644375
14	1.050070469
15	1.048158512
16	1.045892709
17	1.044436717
18	1.042475372
19	1.040797736
20	1.039362137
21	1.038159618
22	1.036688282
23	1.034110241
24	1.032988168
25	1.03189143
26	1.030301242
27	1.029254816
28	1.027643073
29	1.026479575
30	1.024718262
31	1.023534227
32	1.02222932
33	1.021300377
34	1.020121164
35	1.018552474
36	1.017436516
37	1.016425975
38	1.01524475
39	1.014267284
40	1.012628302
41	1.011692762
42	1.010553452
43	1.009588154
44	1.008516077
45	1.007526807
46	1.006737907
47	1.006236379
48	1.004962388
49	1.003881325
50	1.003206
51	1.001944607
52	1.001083872
53	1.00023866
54	0.9994111161
55	0.9988147595
56	0.9980496744
57	0.997327206
58	0.9961327996
59	0.9951881946
60	0.9944265316
61	0.9938066181
62	0.9929056612
63	0.9925119325
64	0.9919058241
65	0.9909603836
66	0.9905030958
67	0.9898430821
68	0.9891263282
69	0.9883586136
70	0.987655251
71	0.986982056
72	0.9860708226
73	0.9852936528
74	0.9845177155
75	0.9836810149
76	0.9832289609
77	0.9825058849
78	0.9814209828
79	0.9804680495
80	0.97981246
81	0.9791826447
82	0.9784892338
83	0.9776027948
84	0.9765895023
85	0.9760553663
86	0.975055563
87	0.9743679148
88	0.9739402256
89	0.9730956966
90	0.9725124706
91	0.9715630792
92	0.970729176
93	0.9703078403
94	0.9700270106
95	0.9693680395
96	0.9688316141
97	0.9684824539
98	0.9677098455
99	0.9669590777
100	0.9660816384
101	0.9656455364
102	0.9649169104
103	0.9642420644
104	0.9637319994
105	0.9627436599
106	0.9621582025
107	0.9615764668
108	0.9603855681
109	0.9597178194
110	0.9588881046
111	0.9581921708
112	0.9573116682
113	0.9563701431
114	0.9553484544
115	0.9546203338
116	0.9541638677
117	0.9532646274
118	0.952666948
119	0.9522788705
120	0.9515300124
121	0.9503287203
122	0.9495774033
123	0.9487612942
124	0.9481557399
125	0.9474661821
126	0.946322139
127	0.9457194493
128	0.9450873381
129	0.9440311428
130	0.9432863802
131	0.9427692822
132	0.9421238292
133	0.9415613602
134	0.9409049333
135	0.9406157772
136	0.9397436591
137	0.9390857054
138	0.9387396146
139	0.9375866725
140	0.936648079
141	0.9363053003
142	0.9352318913
143	0.9346323509
144	0.9340384361
145	0.9336529793
146	0.9330461849
147	0.9324597817
148	0.9320425959
149	0.9315151065
150	0.9309226033
151	0.9305346909
152	0.9299272484
153	0.9296241159
154	0.92920585
155	0.9287743261
156	0.9283548931
157	0.9277276444
158	0.9273874709
159	0.9266003108
160	0.9261406418
161	0.9250632971
162	0.9245023173
163	0.9239437646
164	0.9234994056
165	0.9229677233
166	0.9225754424
167	0.9217576119
168	0.9211435685
169	0.9205123284
170	0.9199240478
171	0.9192364672
172	0.9183775959
173	0.9178153931
174	0.9169849019
175	0.916350864
176	0.9157846815
177	0.9148949284
178	0.9143673628
179	0.9136260445
180	0.9127051371
181	0.9121921053
182	0.9116004294
183	0.9109802111
184	0.9100424286
185	0.9093195952
186	0.9082883352
187	0.9079162856
188	0.9072334059
189	0.9066994478
190	0.9060994595
191	0.9052104421
192	0.9046409492
193	0.9038155455
194	0.9030314853
195	0.9023930474
196	0.9017848789
197	0.900792316
198	0.8996690948
199	0.8992436266
