iter	Passed	Remaining
0	59	11767
1	68	6736
2	76	4998
3	84	4118
4	91	3577
5	97	3164
6	103	2854
7	108	2601
8	112	2393
9	116	2216
10	120	2070
11	124	1948
12	128	1844
13	132	1755
14	136	1677
15	139	1607
16	143	1547
17	147	1491
18	151	1440
19	155	1398
20	159	1356
21	162	1318
22	167	1285
23	170	1253
24	174	1223
25	178	1195
26	182	1169
27	186	1144
28	190	1120
29	193	1098
30	197	1077
31	201	1059
32	205	1040
33	209	1023
34	213	1006
35	217	990
36	221	974
37	225	959
38	228	945
39	232	931
40	236	918
41	240	906
42	244	893
43	248	881
44	252	869
45	256	858
46	260	847
47	264	836
48	268	825
49	271	815
50	275	805
51	279	795
52	283	785
53	287	776
54	291	767
55	295	759
56	298	750
57	302	741
58	306	732
59	310	724
60	314	716
61	318	708
62	322	700
63	326	693
64	330	685
65	333	677
66	337	670
67	341	663
68	345	655
69	349	648
70	352	641
71	356	634
72	360	627
73	364	620
74	368	613
75	372	607
76	376	600
77	380	594
78	384	588
79	387	581
80	391	575
81	395	568
82	399	562
83	403	556
84	406	550
85	410	544
86	414	538
87	418	532
88	422	526
89	425	520
90	429	514
91	433	508
92	437	503
93	441	497
94	444	491
95	448	486
96	452	480
97	456	474
98	460	469
99	463	463
100	467	458
101	471	453
102	475	447
103	479	442
104	483	437
105	486	431
106	491	427
107	495	422
108	499	417
109	503	411
110	507	406
111	510	401
112	514	396
113	518	391
114	522	386
115	526	381
116	530	376
117	535	372
118	539	367
119	542	361
120	546	356
121	550	351
122	554	346
123	558	342
124	561	337
125	565	332
126	569	327
127	573	322
128	577	317
129	581	312
130	584	308
131	588	303
132	592	298
133	596	293
134	600	289
135	604	284
136	607	279
137	611	274
138	615	270
139	619	265
140	623	260
141	627	256
142	630	251
143	634	246
144	638	242
145	642	237
146	646	232
147	649	228
148	653	223
149	657	219
150	661	214
151	664	209
152	668	205
153	673	201
154	677	196
155	680	192
156	684	187
157	688	183
158	692	178
159	696	174
160	700	169
161	704	165
162	708	160
163	711	156
164	715	151
165	719	147
166	723	142
167	727	138
168	730	134
169	734	129
170	738	125
171	742	120
172	746	116
173	750	112
174	753	107
175	757	103
176	761	98
177	765	94
178	769	90
179	773	85
180	776	81
181	780	77
182	784	72
183	788	68
184	792	64
185	796	59
186	799	55
187	803	51
188	807	46
189	811	42
190	815	38
191	819	34
192	823	29
193	826	25
194	830	21
195	835	17
196	839	12
197	842	8
198	846	4
199	850	0
