iter	MultiClass
0	1.091672879
1	1.085260631
2	1.079444668
3	1.074305293
4	1.069352071
5	1.065033775
6	1.061016437
7	1.057055037
8	1.053598948
9	1.050297505
10	1.047223922
11	1.044413681
12	1.041819911
13	1.039671024
14	1.037529467
15	1.035717667
16	1.033826403
17	1.03226557
18	1.030470228
19	1.028956852
20	1.027658086
21	1.026416416
22	1.025284211
23	1.024129282
24	1.023151741
25	1.022071388
26	1.021101903
27	1.020145784
28	1.01926848
29	1.018577401
30	1.017907265
31	1.017341759
32	1.016643619
33	1.015968875
34	1.015284985
35	1.014711496
36	1.014147523
37	1.013590194
38	1.01303491
39	1.012580673
40	1.012107932
41	1.011667647
42	1.011196457
43	1.010834108
44	1.010360588
45	1.009943061
46	1.009627228
47	1.009217767
48	1.008917607
49	1.008591704
50	1.008280053
51	1.007973631
52	1.007702515
53	1.007441771
54	1.00708982
55	1.006846477
56	1.006605919
57	1.006290643
58	1.006042739
59	1.005750859
60	1.005496601
61	1.005325243
62	1.005147071
63	1.004915173
64	1.004690281
65	1.004488473
66	1.004160374
67	1.003941551
68	1.003770001
69	1.003597193
70	1.003412067
71	1.003203687
72	1.00307345
73	1.002924507
74	1.002688043
75	1.002427236
76	1.002289588
77	1.002141605
78	1.001910908
79	1.001761824
80	1.001571411
81	1.001404713
82	1.001256742
83	1.001094007
84	1.000835945
85	1.000699257
86	1.000528157
87	1.00032391
88	1.000217744
89	1.00008818
90	0.9998799983
91	0.9996683398
92	0.9995568223
93	0.9993604839
94	0.9992046651
95	0.9990185627
96	0.9988369892
97	0.9987146655
98	0.9985779408
99	0.9983064443
100	0.9981737138
101	0.9980051764
102	0.9978067114
103	0.9976894555
104	0.9975305465
105	0.9974030882
106	0.997270442
107	0.9971180865
108	0.9969613522
109	0.9968326484
110	0.9966321473
111	0.9965267482
112	0.9963730125
113	0.9962660171
114	0.9960968291
115	0.9959926069
116	0.9958232295
117	0.9957129322
118	0.9956240894
119	0.9954742587
120	0.9952935888
121	0.9951562749
122	0.9950215384
123	0.9948588943
124	0.9946775971
125	0.9945368111
126	0.9944017313
127	0.9942314906
128	0.9941207879
129	0.9938894865
130	0.9937586586
131	0.9935845774
132	0.9934744243
133	0.9933653038
134	0.9932762632
135	0.9931038859
136	0.9929588994
137	0.9927187691
138	0.9925979829
139	0.9924660619
140	0.9923265349
141	0.9922203648
142	0.9920766511
143	0.9919268357
144	0.9918329601
145	0.9917339565
146	0.9915818831
147	0.991402531
148	0.9912406439
149	0.9910969568
150	0.9909835233
151	0.9908871471
152	0.9907082497
153	0.9905555529
154	0.9903858217
155	0.9902596071
156	0.9901258671
157	0.9899847997
158	0.9898783813
159	0.989709696
160	0.9896013933
161	0.9894740569
162	0.98933608
163	0.9891474688
164	0.9890538587
165	0.9889279133
166	0.9888251086
167	0.9887395658
168	0.9885946375
169	0.9884639137
170	0.9883050235
171	0.988140466
172	0.9880003497
173	0.9879054673
174	0.9878139661
175	0.9877123999
176	0.9875680205
177	0.9874685428
178	0.9873373885
179	0.9871909682
180	0.9870248617
181	0.9869336749
182	0.986744572
183	0.9865821608
184	0.9864529347
185	0.9862985634
186	0.9861853677
187	0.9860713919
188	0.9859517994
189	0.9857672478
190	0.9856730626
191	0.9855354437
192	0.9853231839
193	0.9851788703
194	0.9849902597
195	0.9848399216
196	0.9847269752
197	0.9846084933
198	0.9844945653
199	0.9843240498
