iter	Passed	Remaining
0	5	1027
1	11	1140
2	15	1044
3	20	1028
4	26	1029
5	33	1073
6	37	1044
7	43	1044
8	47	1017
9	52	1003
10	58	1009
11	63	1002
12	68	991
13	74	985
14	78	970
15	84	971
16	90	969
17	95	966
18	99	952
19	105	953
20	111	947
21	116	940
22	121	932
23	126	927
24	131	921
25	136	914
26	141	907
27	147	903
28	153	902
29	158	897
30	162	885
31	169	889
32	174	885
33	181	884
34	186	880
35	191	874
36	196	865
37	201	859
38	206	853
39	211	846
40	217	842
41	223	839
42	228	833
43	233	827
44	238	822
45	243	815
46	249	812
47	254	806
48	259	799
49	263	790
50	268	784
51	273	777
52	277	769
53	282	763
54	287	757
55	291	750
56	297	747
57	303	741
58	308	736
59	313	730
60	318	725
61	323	719
62	328	714
63	333	709
64	338	702
65	342	695
66	349	693
67	354	687
68	358	680
69	364	677
70	369	672
71	374	665
72	379	660
73	384	654
74	389	648
75	396	646
76	400	640
77	405	633
78	410	628
79	415	623
80	419	616
81	425	613
82	430	606
83	434	600
84	440	595
85	445	590
86	450	584
87	455	579
88	461	575
89	465	569
90	472	565
91	478	561
92	484	557
93	490	553
94	495	548
95	500	542
96	506	537
97	511	532
98	518	529
99	524	524
100	529	518
101	535	514
102	541	509
103	546	504
104	553	500
105	558	495
106	563	489
107	568	484
108	576	480
109	580	474
110	586	470
111	592	465
112	598	460
113	604	455
114	608	449
115	614	444
116	620	440
117	626	435
118	631	430
119	637	425
120	643	420
121	650	415
122	655	410
123	661	405
124	670	402
125	676	397
126	681	391
127	691	388
128	697	383
129	704	379
130	710	374
131	716	369
132	722	363
133	728	358
134	735	353
135	742	349
136	750	345
137	759	341
138	769	337
139	776	332
140	784	328
141	792	323
142	801	319
143	808	314
144	816	309
145	823	304
146	829	299
147	834	293
148	840	287
149	846	282
150	852	276
151	858	271
152	864	265
153	870	260
154	877	254
155	886	250
156	893	244
157	902	239
158	909	234
159	915	228
160	924	223
161	930	218
162	936	212
163	944	207
164	950	201
165	956	195
166	962	190
167	969	184
168	974	178
169	981	173
170	988	167
171	995	161
172	1004	156
173	1010	151
174	1017	145
175	1023	139
176	1030	133
177	1037	128
178	1043	122
179	1050	116
180	1056	110
181	1061	105
182	1068	99
183	1076	93
184	1082	87
185	1089	82
186	1098	76
187	1108	70
188	1115	64
189	1129	59
190	1136	53
191	1142	47
192	1150	41
193	1159	35
194	1167	29
195	1175	23
196	1185	18
197	1193	12
198	1198	6
199	1206	0
